date,zone,WhatThreeWords_location,coordinates,percent_cover_aerial,percent_cover_crosssec,total_percent_sponge_cover,percent_cover_veg,percent_cover_barnacle,motile_species
2024-06-04T00:00:00Z,lower,laptop.glider.cyclones,"55.89444, -2.13089",0,5,5,5,60,yes
2024-06-04T00:00:00Z,lower,retrain.neatly.screeches,"55.89444, -2.13065",0,0,0,80,20,yes
2024-06-04T00:00:00Z,lower,couple.calms.thinnest,"55.89449, -2.13060",0,35,35,50,70,yes
2024-06-04T00:00:00Z,lower,ordinary.skewing.tropic,"55.89455, -2.13070",0,5,5,20,90,yes
2024-06-04T00:00:00Z,lower,riskiest.evolving.areas,"55.89444, -2.13070",0,40,40,20,60,yes
2024-06-04T00:00:00Z,lower,arranges.disco.forms,"55.89455, -2.13084",0,2,2,30,70,yes
2024-06-04T00:00:00Z,lower,mole.slipped.ecologist,"55.89449, -2.13084",0,0,0,0,10,yes
2024-06-04T00:00:00Z,lower,feasting.perky.sound,"55.89452, -2.13075",0,5,5,0,80,yes
2024-06-04T00:00:00Z,lower,attic.trunk.cuddled,"55.89444, -2.13079",1,1,2,50,20,yes
2024-06-04T00:00:00Z,lower,breathing.diary.track,"55.89449, -2.13070",2,2,4,30,70,yes
2024-06-04T00:00:00Z,lower,saved.lined.unpainted,"55.89455, -2.13079",0,4,4,0,20,yes
2024-06-04T00:00:00Z,lower,sprawls.rust.crumb,55.89452. -2.13089,0,0,0,0,40,yes
2024-06-04T00:00:00Z,middle,rocket.choppers.healers.,"55.89452, -2.13137",0,0,0,35,5,yes
2024-06-04T00:00:00Z,middle,rapid.surprises.forks.,"55.89447, -2.13127",0,0,0,60,15,yes
2024-06-04T00:00:00Z,middle,novels.consumed.rosier.,"55.89460, -2.13123",0,0,0,5,20,yes
2024-06-04T00:00:00Z,middle,bulb.engulfing.together.,"55.89458, -2.13127",0,0,0,40,30,yes
2024-06-04T00:00:00Z,middle,mouse.severe.liner.,"55.89463, -2.13118",0,0,0,30,30,yes
2024-06-04T00:00:00Z,middle,cobbles.dislodge.ozone,"55.89458, -2.13118",0,0,0,15,65,yes
2024-06-04T00:00:00Z,middle,bulb.engulfing.together.,"55.89458, -2.13127",0,0,0,10,55,yes
