ID,Length,Osculum,Camera
1,40.007,1,1
2,40.253,1,1
3,41.007,1,1
4,33.254,1,1
5,31.254,1,1
6,34.75,1,1
7,33.254,1,1
8,33.5,1,1
9,29.504,1,1
10,38.003,1,1
11,34.001,1,1
12,35.75,1,1
13,33.25,1,1
14,33.504,1,1
15,35.5,1,1
16,35.508,1,1
17,35.258,1,1
18,39.507,1,1
19,38.263,1,1
20,35.753,1,1
21,38.5,1,1
22,33.754,1,1
23,35.254,1,1
24,34.501,1,1
25,33.015,1,1
26,35.508,1,1
27,32.75,1,1
28,36.008,1,1
29,32.009,1,1
30,35,1,1
31,33.004,1,1
32,32.754,1,1
33,33.751,1,1
34,31.25,1,1
35,33.004,1,1
36,31,1,1
37,32.75,1,1
38,34.001,1,1
39,31.25,1,1
40,31.259,1,1
41,32.501,1,1
42,35.501,1,1
43,34.25,1,1
44,34.501,1,1
45,35.753,1,1
46,35.004,1,1
47,32.009,1,1
48,35,1,1
49,35.25,1,1
50,35,1,1
51,34.004,1,1
52,33.75,1,1
53,33.009,1,1
54,34.258,1,1
55,38.753,1,1
56,37,1,1
57,35.001,1,1
58,35.514,1,1
59,37.503,1,1
60,36.501,1,1
61,32.004,1,1
62,35.751,1,1
63,32.759,1,1
64,36.001,1,1
65,36.25,1,1
66,34.001,1,1
67,30.017,1,1
68,34.508,1,1
69,35.501,1,1
70,32.751,1,1
71,37.008,1,1
1,11.878,2,1
2,9,2,1
3,8.629,2,1
4,9.001,2,1
5,8.75,2,1
6,8.876,2,1
7,8.125,2,1
8,10,2,1
9,9.875,2,1
10,10.625,2,1
11,11.251,2,1
12,9.875,2,1
13,8.126,2,1
14,7.5,2,1
15,10.751,2,1
16,9.751,2,1
17,8.875,2,1
18,10.126,2,1
19,8.879,2,1
20,9.25,2,1
21,9.628,2,1
22,8.001,2,1
23,8,2,1
24,8.501,2,1
25,8.751,2,1
26,8.626,2,1
27,10.251,2,1
28,8.501,2,1
29,7.75,2,1
30,8.501,2,1
31,8.001,2,1
32,7.25,2,1
33,7.751,2,1
34,7.751,2,1
35,8.125,2,1
36,7.501,2,1
37,8.004,2,1
38,7.625,2,1
39,9.501,2,1
40,8.75,2,1
41,8.629,2,1
42,9.125,2,1
43,9.003,2,1
44,9.503,2,1
45,9.25,2,1
46,10.001,2,1
47,8,2,1
48,10.001,2,1
49,8.5,2,1
50,11.001,2,1
51,8.251,2,1
52,9.126,2,1
53,8.251,2,1
54,8.126,2,1
55,7.126,2,1
56,7.376,2,1
57,7.126,2,1
58,7.751,2,1
59,8.004,2,1
60,8.39,2,1
61,7.5,2,1
62,7.125,2,1
63,8.625,2,1
64,9,2,1
65,7.75,2,1
66,7.375,2,1
67,8.5,2,1
68,8.626,2,1
69,8.125,2,1
70,7.625,2,1
71,7.001,2,1
72,8.875,2,1
73,9.876,2,1
74,8.501,2,1
75,8.876,2,1
76,8.126,2,1
77,9.003,2,1
78,9.376,2,1
1,22.395,3,1
2,27.717,3,1
3,24.336,3,1
4,24.336,3,1
5,23.343,3,1
6,23.336,3,1
7,29.333,3,1
8,22.343,3,1
9,28.008,3,1
10,27.008,3,1
11,25,3,1
12,28,3,1
13,27,3,1
14,26.333,3,1
15,26,3,1
16,28.008,3,1
17,28,3,1
18,26.342,3,1
19,23.669,3,1
20,23,3,1
21,23.002,3,1
22,27.335,3,1
23,24.667,3,1
24,24.669,3,1
25,25.336,3,1
26,28.674,3,1
27,24.333,3,1
28,23.336,3,1
29,24.336,3,1
30,23.676,3,1
31,23.333,3,1
32,25.336,3,1
33,24,3,1
34,26.002,3,1
35,21.667,3,1
36,23.343,3,1
37,27.333,3,1
38,26.675,3,1
39,25.336,3,1
40,24.667,3,1
41,26.333,3,1
42,25.002,3,1
43,27.002,3,1
44,26.669,3,1
45,27.333,3,1
46,26.7,3,1
47,24.342,3,1
48,23.343,3,1
49,25.336,3,1
50,27.341,3,1
51,27.333,3,1
52,24.342,3,1
53,26.669,3,1
54,24,3,1
55,26,3,1
56,24.336,3,1
57,25.667,3,1
58,29,3,1
59,26.333,3,1
60,28.335,3,1
61,27,3,1
62,25.342,3,1
63,26.667,3,1
64,27.335,3,1
65,22.333,3,1
66,27.669,3,1
67,28.335,3,1
68,27.335,3,1
69,23,3,1
70,23.669,3,1
71,26.002,3,1
72,29.667,3,1
73,28.335,3,1
74,24.667,3,1
75,23.333,3,1
76,26.002,3,1
77,22.676,3,1
78,26.333,3,1
79,25.669,3,1
1,8.083,1,2
2,8.417,1,2
3,9.083,1,2
4,8.335,1,2
5,8.167,1,2
6,8,1,2
7,7.584,1,2
8,6.25,1,2
9,9,1,2
10,6.501,1,2
11,7.835,1,2
12,8.835,1,2
13,8.583,1,2
14,9.083,1,2
15,8.333,1,2
16,7.169,1,2
17,7.5,1,2
18,7.169,1,2
19,7.752,1,2
20,7.084,1,2
21,7.085,1,2
22,8.667,1,2
23,7.334,1,2
24,7.834,1,2
25,8.167,1,2
26,8,1,2
27,6.001,1,2
28,9.083,1,2
29,6.917,1,2
30,6.167,1,2
31,7.833,1,2
32,6.833,1,2
33,7.585,1,2
34,7.917,1,2
35,8.084,1,2
36,7.502,1,2
37,9,1,2
38,7.833,1,2
39,8.084,1,2
40,9.083,1,2
41,6.925,1,2
42,6.919,1,2
43,7.167,1,2
44,7,1,2
45,6.667,1,2
46,7,1,2
47,8,1,2
48,8.085,1,2
49,7.668,1,2
50,8.5,1,2
51,8.167,1,2
52,7.334,1,2
53,7.834,1,2
54,6.585,1,2
55,7.333,1,2
56,7.834,1,2
57,6.752,1,2
58,6.752,1,2
59,7.833,1,2
60,8.335,1,2
61,7.167,1,2
62,7.502,1,2
63,7.5,1,2
64,5.917,1,2
65,7.667,1,2
66,6.334,1,2
67,7.417,1,2
68,7.918,1,2
69,9.833,1,2
1,7.419,2,2
2,8.167,2,2
3,7.167,2,2
4,7.917,2,2
5,8.083,2,2
6,8.25,2,2
7,6.75,2,2
8,7.583,2,2
9,8.752,2,2
10,7.25,2,2
11,8.5,2,2
12,7.335,2,2
13,6.667,2,2
14,6.667,2,2
15,6.333,2,2
16,7.333,2,2
17,7.417,2,2
18,8.417,2,2
19,8.585,2,2
20,8.083,2,2
21,8,2,2
22,7.084,2,2
23,10,2,2
24,8,2,2
25,6.751,2,2
26,7,2,2
27,6.835,2,2
28,8.333,2,2
29,6.667,2,2
30,8.084,2,2
31,7.333,2,2
32,7.334,2,2
33,8.417,2,2
34,7.917,2,2
35,5.667,2,2
36,7.167,2,2
37,8.168,2,2
38,7.334,2,2
39,5.667,2,2
40,8.25,2,2
41,7.333,2,2
42,10.167,2,2
43,7.504,2,2
44,8,2,2
45,7.252,2,2
46,7.25,2,2
47,7.084,2,2
48,8,2,2
49,7.84,2,2
50,7.167,2,2
51,8.75,2,2
52,6.751,2,2
53,8.752,2,2
54,7.502,2,2
55,6.419,2,2
56,6.167,2,2
57,6.584,2,2
58,7.917,2,2
59,6.417,2,2
60,6.083,2,2
61,8,2,2
62,7.25,2,2
63,7.667,2,2
64,7.417,2,2
65,6.417,2,2
66,6.001,2,2
67,6.751,2,2
68,6.585,2,2
69,8.417,2,2
1,9.876,3,2
2,8.751,3,2
3,8.375,3,2
4,10.5,3,2
5,9.626,3,2
6,10.375,3,2
7,8.254,3,2
8,8.5,3,2
9,9.001,3,2
10,8.625,3,2
11,8.876,3,2
12,6.875,3,2
13,8.875,3,2
14,9.126,3,2
15,8.626,3,2
16,10.25,3,2
17,9,3,2
18,10.375,3,2
19,8.126,3,2
20,7.876,3,2
21,9,3,2
22,7.626,3,2
23,9,3,2
24,8.375,3,2
25,10.125,3,2
26,8.754,3,2
27,10.75,3,2
28,8.876,3,2
29,8.125,3,2
30,8,3,2
31,8.251,3,2
32,7.625,3,2
33,10.001,3,2
34,8.376,3,2
35,8.25,3,2
36,9.125,3,2
37,8.75,3,2
38,7.75,3,2
39,7.5,3,2
40,9.5,3,2
41,9.253,3,2
